HouseholdID,PSUID,TWSDay,TWSMonth,TWSMonth_B01ID,TWSYear,TWSDate,TWSWeek,TWSWeekday_B01ID,TWEDay,TWEMonth,TWEMonth_B01ID,TWEYear,TWEDate,TWEWeek,TWEWeekday_B01ID,QuotaMonth_B01ID,HHIncome2002_B02ID,HHIncOrig_B01ID,AddressType_B01ID,Ten1_B02ID,ResLength_B01ID,HHoldGOR_B02ID,HHoldCountry_B01ID,HHoldNumAdults,HHoldNumChildren,HHoldNumPeople,HHoldStruct_B02ID,NumLicHolders,HRPWorkStat_B02ID,HRPEmpStat_B01ID,HRPSEGWorkStat_B01ID,HHoldEmploy_B01ID,NumBike,NumCar,NumMCycle,NumVanLorry,NumCarVan,NumCarVan_B02ID,NumVehicles,HHoldCVAvail_B01ID,WalkBus_B01ID,Getbus_B01ID,FrqBus_B01ID,ReliaBus_B01ID,SatServ_B01ID,WalkRail_B01ID,BusRail_B01ID,DescTa_B01ID,FrqMetro_B01ID,RelMetro_B01ID,ClosSta_B01ID,WalkRailAlt_B01ID,BusRailAlt_B01ID,JTimeGP_B01ID,JTimeChem_B01ID,JTimeHosp_B01ID,JTimeShopC_B01ID,JTimeGroc_B01ID,JTimePost_B01ID,JTimePrimSch_B01ID,JTimeSecSch_B01ID,JTimeColl_B01ID,Deliv_B01ID,HowOrd_B01ID,HowB_B01ID,ShopOft_B01ID,DVShop_B01ID,BlueBdg_B01ID,Settlement2011EW_B03ID,Settlement2011EW_B04ID,Settlement2021EW_B01ID,Settlement2021EW_B02ID,Settlement2021EW_B03ID,Online_B01ID,TrainSat_B01ID,DelMeth_B01ID,DelVisit_B01ID,Howspec_B01ID,TravSpec_B01ID,HowBN_B01ID,Pavement_B01ID,CycLane_B01ID,DelMethN_B01ID,BusStandard_B01ID,OnlineN_B01ID,SelPer_B01ID,HHoldFdShp_B01ID,HHoldFdFreq_B01ID,HHoldOAClass2011_B03ID,Landlord_B01ID,F2FPhone_B01ID,HLongAN_B01ID,Deliv1_B01ID,Deliv2_B01ID,W0,W1,W2,W3,HHIncQDS2008_B01ID,HHIncQIS2008_B01ID,HHIncQDS2008Eng_B01ID,HHIncQIS2008Eng_B01ID,HHIncQDS2009_B01ID,HHIncQIS2009_B01ID,HHIncQDS2009Eng_B01ID,HHIncQIS2009Eng_B01ID,HHIncQDS2010_B01ID,HHIncQIS2010_B01ID,HHIncQDS2010Eng_B01ID,HHIncQIS2010Eng_B01ID,HHIncQDS2011_B01ID,HHIncQIS2011_B01ID,HHIncQDS2011Eng_B01ID,HHIncQIS2011Eng_B01ID,HHIncQDS2012_B01ID,HHIncQIS2012_B01ID,HHIncQDS2012Eng_B01ID,HHIncQIS2012Eng_B01ID,HHIncQDS2013Eng_B01ID,HHIncQIS2013Eng_B01ID,HHIncQDS2014Eng_B01ID,HHIncQIS2014Eng_B01ID,HHIncQDS2015Eng_B01ID,HHIncQIS2015Eng_B01ID,HHIncQDS2016Eng_B01ID,HHIncQIS2016Eng_B01ID,HHIncQDS2017Eng_B01ID,HHIncQIS2017Eng_B01ID,HHIncQDS2018Eng_B01ID,HHIncQIS2018Eng_B01ID,HHIncQDS2019Eng_B01ID,HHIncQIS2019Eng_B01ID,HHIncQDS2020Eng_B01ID,HHIncQIS2020Eng_B01ID,HHIncQDS2021Eng_B01ID,HHIncQIS2021Eng_B01ID,HHIncQDS2022Eng_B01ID,HHIncQIS2022Eng_B01ID,HHIncQDS2023Eng_B01ID,HHIncQIS2023Eng_B01ID,HHIncQDS2024Eng_B01ID,HHIncQIS2024Eng_B01ID,HHIncQDSEngTS_B01ID,HHIncQISEngTS_B01ID,WalkTimeGP_B01ID,BusTimeGP_B01ID,WalkTimePO_B01ID,BusTimePO_B01ID,WalkTimeChem_B01ID,BusTimeChem_B01ID,WalkTimeGroc_B01ID,BusTimeGroc_B01ID,WalkTimeShopC_B01ID,BusTimeShopC_B01ID,WalkTimeHosp_B01ID,BusTimeHosp_B01ID,HHIncQIS2002_B01ID,HHIncQDS2002_B01ID,HHIncQIS2002Eng_B01ID,HHIncQDS2002Eng_B01ID,HHIncQIS2003_B01ID,HHIncQDS2003_B01ID,HHIncQIS2003Eng_B01ID,HHIncQDS2003Eng_B01ID,HHIncQIS2004_B01ID,HHIncQDS2004_B01ID,HHIncQIS2004Eng_B01ID,HHIncQDS2004Eng_B01ID,HHIncQIS2005_B01ID,HHIncQDS2005_B01ID,HHIncQIS2005Eng_B01ID,HHIncQDS2005Eng_B01ID,HHIncQIS2006_B01ID,HHIncQDS2006_B01ID,HHIncQIS2006Eng_B01ID,HHIncQDS2006Eng_B01ID,HHIncQIS2007_B01ID,HHIncQDS2007_B01ID,HHIncQIS2007Eng_B01ID,HHIncQDS2007Eng_B01ID,SurveyYear
2023000001,2023000001,6,2,2,2023,2023-02-06,6,1,12,2,2,2023,2023-02-12,7,7,1,1,3,-9,1,-10,7,1,2,0,2,2,2.0,2,1,-10,2,0,2,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.56741774062704,0.62633224205077,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-10,-10,2,2,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000042,2023000004,24,1,1,2023,2023-01-24,4,2,30,1,1,2023,2023-01-30,5,1,1,2,1,-9,2,-10,7,1,1,2,3,4,0.0,4,4,-10,1,0,0,0,0,0,1,0,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,5,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.88242546559598,0.95371292152819,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,3,3,-10,-10,3,3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000043,2023000004,15,1,1,2023,2023-01-15,3,7,21,1,1,2023,2023-01-21,3,6,1,2,1,-9,1,-10,7,1,2,0,2,2,2.0,3,4,-10,1,0,1,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,5,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.57426379705862,0.66586899264575,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,2,-10,-10,2,2,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000035,2023000004,21,1,1,2023,2023-01-21,3,6,27,1,1,2023,2023-01-27,4,5,1,1,1,-9,2,-10,7,1,6,1,7,6,3.0,4,4,-10,5,0,2,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,0,0,1.27970000426324,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,1,-10,-10,-9,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000049,2023000004,5,2,2,2023,2023-02-05,6,7,11,2,2,2023,2023-02-11,6,6,1,2,1,-9,2,-10,7,1,1,2,3,4,0.0,2,3,-10,2,1,0,0,0,0,1,0,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.9704635780389,1.12349188189584,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,3,3,-10,-10,3,3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000046,2023000004,1,2,2,2023,2023-02-01,5,3,7,2,2,2023,2023-02-07,6,2,1,3,1,-9,1,-10,7,1,2,1,3,5,2.0,1,3,-10,6,1,1,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,1.00280917006983,1.12675440467492,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,4,-10,-10,4,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000044,2023000004,3,2,2,2023,2023-02-03,5,5,9,2,2,2023,2023-02-09,6,4,1,2,1,-9,1,-10,7,1,2,0,2,2,2.0,1,3,-10,6,0,2,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,1.11101575800597,1.18442338912006,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,3,3,-10,-10,3,3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000060,2023000006,23,1,1,2023,2023-01-23,4,1,29,1,1,2023,2023-01-29,5,7,1,1,3,-9,1,-10,7,1,2,0,2,2,0.0,1,3,-10,3,0,0,0,0,0,1,0,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,2,-10,-10,-10,1,0,0,1.00114218375569,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,2,-10,-10,-9,2,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000062,2023000007,2,2,2,2023,2023-02-02,5,4,8,2,2,2023,2023-02-08,6,3,1,1,3,-9,1,-10,7,1,1,0,1,1,1.0,3,2,-10,1,0,1,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,0,0,0.9720826256009,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,1,-10,-10,-9,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000078,2023000010,24,1,1,2023,2023-01-24,4,2,30,1,1,2023,2023-01-30,5,1,1,3,1,-9,1,-10,8,1,2,0,2,2,2.0,1,2,-10,6,2,3,0,0,3,3,3,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.81065308580661,0.89402682060619,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,5,5,-10,-10,5,5,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000075,2023000010,23,1,1,2023,2023-01-23,4,1,29,1,1,2023,2023-01-29,5,7,1,2,1,-9,1,-10,8,1,1,0,1,1,1.0,3,2,-10,1,0,1,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.65418592870573,0.70417935166568,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,4,-10,-10,4,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000094,2023000011,2,2,2,2023,2023-02-02,5,4,8,2,2,2023,2023-02-08,6,3,1,1,3,-9,1,-10,7,1,2,0,2,-8,2.0,3,3,-10,1,0,1,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,6,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.51053061856249,0.56353853588148,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-10,-10,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000097,2023000011,5,2,2,2023,2023-02-05,6,7,11,2,2,2023,2023-02-11,6,6,1,3,3,-9,1,-10,7,1,3,1,4,6,1.0,4,4,-10,3,0,0,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,0,0,0.85742615386475,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,3,-10,-10,-9,3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000102,2023000012,14,2,2,2023,2023-02-14,7,2,20,2,2,2023,2023-02-20,8,1,1,1,1,-9,1,-10,2,1,4,4,8,6,2.0,2,1,-10,5,0,2,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,2.00277526900089,1.76569675008383,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-10,-10,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000100,2023000012,17,2,2,2023,2023-02-17,7,5,23,2,2,2023,2023-02-23,8,4,1,1,1,-9,1,-10,2,1,2,4,6,5,2.0,1,3,-10,3,0,2,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,1.33893576216505,1.34495740558663,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-10,-10,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000109,2023000012,17,2,2,2023,2023-02-17,7,5,23,2,2,2023,2023-02-23,8,4,1,2,1,-9,2,-10,2,1,2,1,3,5,2.0,1,3,-10,6,0,2,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,1.49019369601063,1.43707527103295,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,3,3,-10,-10,3,3,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000101,2023000012,7,2,2,2023,2023-02-07,6,2,13,2,2,2023,2023-02-13,7,1,1,3,1,-9,1,-10,2,1,2,0,2,2,0.0,1,3,-10,3,0,0,0,0,0,1,0,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,1.42858884635979,1.44681603321072,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,4,-10,-10,4,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000105,2023000012,17,2,2,2023,2023-02-17,7,5,23,2,2,2023,2023-02-23,8,4,1,1,1,-9,2,-10,2,1,2,0,2,2,2.0,3,1,-10,1,0,1,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-9,-10,-10,-10,-10,1,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,1.25422241794597,1.27814907625288,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,-10,-10,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000126,2023000014,23,3,3,2023,2023-03-23,12,4,29,3,3,2023,2023-03-29,13,3,1,3,3,-9,1,-10,5,1,2,2,4,5,1.0,1,3,-10,3,0,1,0,0,1,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,2,-10,-10,-10,1,1,1.18780095530608,1.20420142732082,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,4,-10,-10,4,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
2023000131,2023000015,20,1,1,2023,2023-01-20,3,5,26,1,1,2023,2023-01-26,4,4,1,3,1,-9,1,-10,7,1,3,0,3,3,2.0,1,3,-10,6,1,1,0,0,2,3,2,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2,-10,-10,-10,-10,2,1,1,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,1,1,1,-10,-10,-10,1,-10,-10,-10,1,1,.9700391883606,1.02362925674672,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,4,4,-10,-10,4,4,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,2023
